epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.5504678518957451,0.2153188174679166,0.19055409367123127,0.1514991746540049,0.44953214304272393,0.7250515169222176,0.000989084726566536,1.4778685569763184,True
2,0.19513870933476615,0.15266757536502112,0.13767579605097985,0.1291108053935089,0.8048612896298899,0.8081694971962333,0.0009568159560924792,1.4786055088043213,True
3,0.15662840341194337,0.1371173757172766,0.12765980982444566,0.12528831009836383,0.8433715964916624,0.8298752032418181,0.0009046039886902865,1.498547077178955,True
4,0.1519884685758783,0.13589781366643452,0.12678955310994514,0.12405164888157565,0.8480115317892419,0.8310841842815643,0.0008347307378762499,1.4976398944854736,True
5,0.1488919158943561,0.13357036191792715,0.12655941455926495,0.12397376930650202,0.8511080820051702,0.8344653426279192,0.0007502500000000003,1.4690515995025635,True
6,0.15068306210411697,0.13289271805967603,0.12619633092291943,0.12413682411337319,0.8493169374802804,0.8350806905035042,0.0006548539886902865,1.8467848300933838,False
7,0.1469864544748258,0.13284941436279388,0.12574154051878214,0.12332418016316972,0.8530135467842751,0.8349733472151205,0.0005527119674021932,1.8372716903686523,False
8,0.14575185309939023,0.13334508006061827,0.125289189469317,0.12401738227278737,0.8542481461922364,0.8346739404764973,0.0004482880325978074,1.8391649723052979,False
9,0.14491062288274284,0.13225080867608388,0.12453282841864136,0.12326440077285716,0.8550893756490172,0.8356604892000341,0.000346146011309714,1.8439996242523193,False
10,0.14336570587729205,0.13170493316082726,0.12415587474703701,0.12336567955203395,0.85663429419304,0.8364128554317204,0.0002507500000000002,1.8595614433288574,False
11,0.14235967613067949,0.13167735245965775,0.12384800513168581,0.1237309874560303,0.8576403250106696,0.8366708067375003,0.00016626926212375052,1.860720157623291,False
12,0.14316537674485136,0.13165605806169056,0.12379809050965927,0.12303606999309719,0.8568346212000857,0.8363728781830548,9.639601130971382e-05,1.8450367450714111,False
13,0.14220365315926176,0.1316067356438864,0.12328892738012875,0.12340118696761418,0.857796346658636,0.8365144364646571,4.418404390752082e-05,1.839073657989502,False
14,0.14114886109067612,0.13155905575979324,0.123096182447719,0.1235655174646682,0.8588511398379963,0.8366306704916131,1.1915273433464063e-05,1.8421516418457031,False
15,0.1409670716574212,0.1315627157688141,0.12278363639182933,0.12354561626937186,0.8590329282409626,0.8366305530281299,1e-06,1.8539104461669922,False
