epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.555271161078405,0.2060668116524106,0.19116765428784482,0.14336672536542094,0.44472883832918325,0.7340552833286234,0.000989084726566536,2.336599349975586,True
2,0.19298339501148512,0.15202751826672328,0.13423874569428426,0.12751019532699212,0.8070166065106155,0.808034295804164,0.0009568159560924792,2.296149492263794,True
3,0.16016581226296786,0.13808042648292723,0.12733224336763163,0.12491199019575827,0.8398341868872561,0.8275417735028019,0.0009046039886902865,2.293034315109253,True
4,0.15383813068771562,0.1376618016333807,0.12639233406284617,0.12433098817038142,0.8461618703399605,0.8279461313619216,0.0008347307378762499,2.2663862705230713,True
5,0.14801351387961573,0.13334910869598388,0.12516696480903436,0.12394377035452783,0.851986484942189,0.8340839896292945,0.0007502500000000003,2.3109724521636963,True
6,0.1494692877060225,0.13397225191195805,0.12687023617589152,0.12322307156381203,0.850530710097751,0.8327294191834538,0.0006548539886902865,3.6680991649627686,False
7,0.14687550498657867,0.1332888989221482,0.12504987278955834,0.1238596571171703,0.8531244942798096,0.8341164576377746,0.0005527119674021932,3.672126531600952,False
8,0.14642304958415633,0.13255645575977507,0.12436175634014027,0.12313657757580691,0.8535769518785152,0.8349939632141831,0.0004482880325978074,3.6351451873779297,False
9,0.14560015164002651,0.13145578333309718,0.12433956161326117,0.12203417568480898,0.8543998490429048,0.8360674117913569,0.000346146011309714,3.693122386932373,False
10,0.14313136384266764,0.13169056453875133,0.12409680200596578,0.12264532435906642,0.8568686345911356,0.8357967317637645,0.0002507500000000002,3.6710364818573,False
11,0.1424084034474457,0.13081503879456294,0.1234816773931401,0.1224236301790751,0.8575915967463152,0.8370687727683449,0.00016626926212375052,3.643171548843384,False
12,0.1435488686842077,0.13154991403931662,0.12378864372214855,0.12301621222807993,0.8564511308971083,0.8362517419765475,9.639601130971382e-05,3.696831226348877,False
13,0.14239342871333371,0.13064361001764024,0.12326731269362182,0.12261226583106233,0.8576065702790414,0.8373940654819046,4.418404390752082e-05,3.680227518081665,False
14,0.14070370006961982,0.1306252528514181,0.12262923498218718,0.12253573575223711,0.8592962981977621,0.8373790998421469,1.1915273433464063e-05,3.668327569961548,False
