fold,en_iyi_epoch,n_grup_train,n_grup_val,n_grup_test,on_egitimli_kullanildi,train_overall_MAE,train_overall_R2,train_xe_uptake_mmol_g_MAE,train_xe_uptake_mmol_g_R2,train_kr_uptake_mmol_g_MAE,train_kr_uptake_mmol_g_R2,train_xe_kr_selectivity_MAE,train_xe_kr_selectivity_R2,train_i2_uptake_mmol_g_MAE,train_i2_uptake_mmol_g_R2,val_overall_MAE,val_overall_R2,val_xe_uptake_mmol_g_MAE,val_xe_uptake_mmol_g_R2,val_kr_uptake_mmol_g_MAE,val_kr_uptake_mmol_g_R2,val_xe_kr_selectivity_MAE,val_xe_kr_selectivity_R2,val_i2_uptake_mmol_g_MAE,val_i2_uptake_mmol_g_R2,test_overall_MAE,test_overall_R2,test_xe_uptake_mmol_g_MAE,test_xe_uptake_mmol_g_R2,test_kr_uptake_mmol_g_MAE,test_kr_uptake_mmol_g_R2,test_xe_kr_selectivity_MAE,test_xe_kr_selectivity_R2,test_i2_uptake_mmol_g_MAE,test_i2_uptake_mmol_g_R2
1,10,170,30,100,True,0.11972899661823805,0.8592458047352945,0.021277373894056335,0.9319812384621331,0.016300787560120468,0.9317356301718068,0.42688360026224925,0.6681476643722839,0.014454224756526147,0.9051186859349545,0.11865830652276699,0.8673280086942888,0.02113138068273726,0.9465598476469064,0.017321255565402486,0.9340528762323763,0.4208403272229089,0.684154280411122,0.01534026262001932,0.9045450304867507,0.1239831307337207,0.8518379208392006,0.021629166493714453,0.9342022099410001,0.017419439849333293,0.9242824110068297,0.4423012834433517,0.6456547170235325,0.014582633148483386,0.9032123453854402
2,9,170,30,100,True,0.12283315193414181,0.8585680406204335,0.02291273339492722,0.9313533520617738,0.01683149243082353,0.9328798931835868,0.43681030223239925,0.6638226033514986,0.014778079678417188,0.9062163138848747,0.12203417508454059,0.8360674110206824,0.019324209274191692,0.9294423175944287,0.01892844848744275,0.8874665409209089,0.43491267447562526,0.6475311507348483,0.01497136810090264,0.8798296348325435,0.12089496097306979,0.855867564166199,0.02070496702181992,0.9384983900721139,0.016186901380358443,0.9344129291982716,0.4323476283715059,0.6466191736832234,0.014340347118594884,0.9039397637111872
3,9,170,30,100,True,0.11956189473288621,0.8624136979499987,0.020990325104726894,0.9380887937170689,0.01619034986832535,0.9331793949416536,0.4269835656803125,0.6672532340676005,0.014083338278180124,0.9111333690736716,0.11855677262715392,0.8502363403208834,0.021824790097834022,0.9387645827867876,0.018269289930010202,0.9256717406233632,0.4172285930046803,0.6536081897269064,0.016904417476091182,0.8829008481464763,0.1243710653723291,0.850894428085698,0.02345783276269657,0.922852920103437,0.017722659392246997,0.9222394532450899,0.4403728288800273,0.664530114131282,0.015930940454345486,0.8939552248629835
