bond_pair,ortalama,abs_ortalama,adet,target_column
Cu-N,-2.636670674092825e-07,2.636670674092825e-07,212,i2_uptake_mmol_g
Cu-O,-8.57714664346193e-08,1.3663877853617233e-07,1764,i2_uptake_mmol_g
Er-Er,-1.3463273909024227e-08,1.3982024903231626e-08,38,i2_uptake_mmol_g
Er-H,-2.9351754658242225e-08,3.2269867476537935e-08,556,i2_uptake_mmol_g
Er-O,-4.541740807122264e-08,4.736818262345651e-08,1212,i2_uptake_mmol_g
Eu-Eu,4.312833693057119e-10,1.2878196433120916e-09,54,i2_uptake_mmol_g
Eu-H,-3.130954069853795e-08,3.1618102583792476e-08,117,i2_uptake_mmol_g
Eu-N,-9.778427492239034e-08,1.2542314673718826e-07,270,i2_uptake_mmol_g
Eu-O,-2.457342803871914e-08,5.400326473037702e-08,540,i2_uptake_mmol_g
F-F,-1.3412399009386081e-07,1.4296198493879057e-07,305,i2_uptake_mmol_g
F-Fe,-2.221177787873584e-08,4.171128756558229e-08,146,i2_uptake_mmol_g
F-H,-1.912581849313755e-08,4.64327892621852e-08,250,i2_uptake_mmol_g
F-Li,-1.0421578013992912e-07,1.0819176388038628e-07,174,i2_uptake_mmol_g
F-N,-1.3078211994461757e-07,1.4106383641575835e-07,1184,i2_uptake_mmol_g
F-O,-9.476928288787435e-08,9.760592460535246e-08,44,i2_uptake_mmol_g
Fe-Fe,-2.3245883874070055e-08,5.777699015790486e-08,180,i2_uptake_mmol_g
Fe-H,-4.3836035550442763e-08,5.5304313833382304e-08,341,i2_uptake_mmol_g
Fe-N,-1.1763758993458563e-08,4.611595488521313e-08,401,i2_uptake_mmol_g
Fe-O,-1.1235197763572926e-07,1.2420208213517584e-07,1689,i2_uptake_mmol_g
H-H,-1.4923065985910267e-08,3.379092364320265e-08,11281,i2_uptake_mmol_g
H-Mg,-3.6259324162192964e-08,4.7531373186586966e-08,309,i2_uptake_mmol_g
H-N,-1.2470604536889032e-07,1.4063584777148308e-07,5507,i2_uptake_mmol_g
H-Ni,-6.730825943137095e-08,1.0835070410717123e-07,133,i2_uptake_mmol_g
H-O,-7.438082055149544e-08,8.461343050719673e-08,26637,i2_uptake_mmol_g
H-P,-5.860637024692605e-08,7.480079226959943e-08,382,i2_uptake_mmol_g
H-Pr,-1.7840358969876516e-08,1.8637281222177318e-08,194,i2_uptake_mmol_g
H-S,-3.441559762616047e-07,4.0623658757806867e-07,179,i2_uptake_mmol_g
H-Sm,-3.288416201718498e-09,5.391135148229225e-09,68,i2_uptake_mmol_g
H-Sr,1.1716423912878585e-08,1.3804521017891064e-08,42,i2_uptake_mmol_g
H-Tb,-1.4076945892811106e-08,1.947422770796675e-08,536,i2_uptake_mmol_g
H-U,-4.560204986741658e-09,3.0490760210247945e-08,124,i2_uptake_mmol_g
H-Y,-2.1914193943284705e-08,2.6323002386141606e-08,113,i2_uptake_mmol_g
H-Zn,-1.2341290760072204e-07,1.7852387859328467e-07,685,i2_uptake_mmol_g
Ho-Ho,1.7056422017789286e-08,3.6341254906223897e-08,156,i2_uptake_mmol_g
Ho-O,-1.6165996505149228e-07,2.337393341195615e-07,3731,i2_uptake_mmol_g
Li-Li,7.827319229575248e-09,7.887576956508435e-09,16,i2_uptake_mmol_g
Li-N,-2.291815556654181e-07,2.308770791613364e-07,154,i2_uptake_mmol_g
Mg-Mg,1.1042904585984034e-08,1.1042904585984034e-08,78,i2_uptake_mmol_g
Mg-N,-1.245385574518328e-07,1.5594520143361972e-07,24,i2_uptake_mmol_g
Mg-O,-5.909855837504571e-08,6.178332310718453e-08,1404,i2_uptake_mmol_g
Mg-P,-3.884851763738183e-08,4.77937344252819e-08,234,i2_uptake_mmol_g
Mg-S,3.08816407668111e-08,3.5735165526684655e-08,12,i2_uptake_mmol_g
N-N,-1.0230250072052156e-07,1.1066063916086347e-07,1882,i2_uptake_mmol_g
N-Nd,-3.396265457322051e-08,6.036449974708992e-08,44,i2_uptake_mmol_g
N-Ni,-1.0021199985895666e-07,1.0825664633767228e-07,186,i2_uptake_mmol_g
N-O,-9.421191137817776e-08,1.0947915060343268e-07,3419,i2_uptake_mmol_g
N-P,-1.8830569665693557e-07,2.2700471896465914e-07,300,i2_uptake_mmol_g
N-Pr,-3.890516495221406e-09,6.241304772126062e-09,19,i2_uptake_mmol_g
N-S,-2.1322665244289753e-07,2.883955095076459e-07,120,i2_uptake_mmol_g
N-Tb,-1.945544820641924e-08,2.0364633488972125e-08,88,i2_uptake_mmol_g
N-Zn,-3.169829541775175e-07,3.386932871829451e-07,48,i2_uptake_mmol_g
Nd-Nd,1.1672071974135751e-08,1.1672071974135748e-08,12,i2_uptake_mmol_g
Nd-O,-9.642385569329241e-08,1.0080772226001371e-07,192,i2_uptake_mmol_g
Ni-Ni,-2.1277819463236994e-08,1.4337871061069022e-07,87,i2_uptake_mmol_g
Ni-O,-6.758047935994455e-08,1.1936187301809974e-07,733,i2_uptake_mmol_g
Ni-P,-6.396207271103238e-08,1.5847954239195384e-07,200,i2_uptake_mmol_g
O-O,-7.772677358912939e-08,9.32939882125655e-08,46962,i2_uptake_mmol_g
O-P,-7.233109480894628e-08,1.0253742273439016e-07,2708,i2_uptake_mmol_g
O-Pr,-2.8388675554619468e-08,3.711081338834572e-08,371,i2_uptake_mmol_g
O-S,-5.004665621082152e-08,6.54502466678134e-08,123,i2_uptake_mmol_g
O-Sm,-4.020762377796336e-08,4.0280003688176866e-08,90,i2_uptake_mmol_g
O-Sr,-4.3290444972375574e-08,4.66289913012363e-08,86,i2_uptake_mmol_g
O-Tb,-6.127278856125911e-08,6.221963203030927e-08,642,i2_uptake_mmol_g
O-U,-1.3639320216934093e-07,1.4056374040710415e-07,250,i2_uptake_mmol_g
O-Y,-2.6199404635128354e-08,2.798629815497622e-08,218,i2_uptake_mmol_g
O-Zn,-3.13904712706332e-07,3.466190171586085e-07,1222,i2_uptake_mmol_g
P-P,-8.492224861470559e-09,5.457763956389206e-08,298,i2_uptake_mmol_g
P-Sr,-1.434638747305672e-08,1.444320996490478e-08,16,i2_uptake_mmol_g
P-U,-5.315096151685262e-09,1.4508790124280423e-08,58,i2_uptake_mmol_g
Pr-Pr,2.162381151915582e-09,2.1705962216511664e-08,16,i2_uptake_mmol_g
S-S,-1.0371678296219215e-07,1.0371678296219215e-07,21,i2_uptake_mmol_g
Sm-Sm,-6.245366779289441e-09,6.24536677928944e-09,4,i2_uptake_mmol_g
Sr-Sr,-7.544943420034754e-11,7.544943420034754e-11,2,i2_uptake_mmol_g
Sr-U,-2.4680812603481883e-09,1.1814066833106053e-08,26,i2_uptake_mmol_g
Tb-Tb,-2.8581430248688272e-08,2.8679561014701337e-08,24,i2_uptake_mmol_g
U-U,-5.3052726602758665e-09,5.307823648653805e-09,14,i2_uptake_mmol_g
Y-Y,-1.049686582099696e-09,1.049686582099696e-09,3,i2_uptake_mmol_g
Zn-Zn,-3.197647942820054e-07,4.732670770072967e-07,140,i2_uptake_mmol_g
