element,ortalama,abs_ortalama,std,adet,target_column
Al,0.0,0.0,0.0,16,i2_uptake_mmol_g
C,0.0,0.0,0.0,3467,i2_uptake_mmol_g
Cd,0.0,0.0,0.0,10,i2_uptake_mmol_g
Cl,0.0,0.0,0.0,51,i2_uptake_mmol_g
Co,0.0,0.0,0.0,251,i2_uptake_mmol_g
Cr,0.0,0.0,0.0,20,i2_uptake_mmol_g
Cu,0.0,0.0,0.0,93,i2_uptake_mmol_g
Er,0.0,0.0,0.0,42,i2_uptake_mmol_g
Eu,0.0,0.0,0.0,27,i2_uptake_mmol_g
F,0.0,0.0,0.0,53,i2_uptake_mmol_g
Fe,0.0,0.0,0.0,67,i2_uptake_mmol_g
H,0.0,0.0,0.0,1521,i2_uptake_mmol_g
Ho,0.0,0.0,0.0,104,i2_uptake_mmol_g
Li,0.0,0.0,0.0,10,i2_uptake_mmol_g
Mg,0.0,0.0,0.0,38,i2_uptake_mmol_g
N,0.0,0.0,0.0,375,i2_uptake_mmol_g
Nd,0.0,0.0,0.0,7,i2_uptake_mmol_g
Ni,0.0,0.0,0.0,33,i2_uptake_mmol_g
O,0.0,0.0,0.0,3530,i2_uptake_mmol_g
P,0.0,0.0,0.0,94,i2_uptake_mmol_g
Pr,0.0,0.0,0.0,18,i2_uptake_mmol_g
S,0.0,0.0,0.0,12,i2_uptake_mmol_g
Sm,0.0,0.0,0.0,4,i2_uptake_mmol_g
Sr,0.0,0.0,0.0,4,i2_uptake_mmol_g
Tb,0.0,0.0,0.0,30,i2_uptake_mmol_g
U,0.0,0.0,0.0,12,i2_uptake_mmol_g
Y,0.0,0.0,0.0,7,i2_uptake_mmol_g
Zn,0.0,0.0,0.0,58,i2_uptake_mmol_g
Al,0.0,0.0,0.0,16,kr_uptake_mmol_g
C,0.0,0.0,0.0,3467,kr_uptake_mmol_g
Cd,0.0,0.0,0.0,10,kr_uptake_mmol_g
Cl,0.0,0.0,0.0,51,kr_uptake_mmol_g
Co,0.0,0.0,0.0,251,kr_uptake_mmol_g
Cr,0.0,0.0,0.0,20,kr_uptake_mmol_g
