element,ortalama,abs_ortalama,std,adet,target_column
Cu,0.0,0.0,0.0,93,kr_uptake_mmol_g
Er,0.0,0.0,0.0,42,kr_uptake_mmol_g
Eu,0.0,0.0,0.0,27,kr_uptake_mmol_g
F,0.0,0.0,0.0,53,kr_uptake_mmol_g
Fe,0.0,0.0,0.0,67,kr_uptake_mmol_g
H,0.0,0.0,0.0,1521,kr_uptake_mmol_g
Ho,0.0,0.0,0.0,104,kr_uptake_mmol_g
Li,0.0,0.0,0.0,10,kr_uptake_mmol_g
Mg,0.0,0.0,0.0,38,kr_uptake_mmol_g
N,0.0,0.0,0.0,375,kr_uptake_mmol_g
Nd,0.0,0.0,0.0,7,kr_uptake_mmol_g
Ni,0.0,0.0,0.0,33,kr_uptake_mmol_g
O,0.0,0.0,0.0,3530,kr_uptake_mmol_g
P,0.0,0.0,0.0,94,kr_uptake_mmol_g
Pr,0.0,0.0,0.0,18,kr_uptake_mmol_g
S,0.0,0.0,0.0,12,kr_uptake_mmol_g
Sm,0.0,0.0,0.0,4,kr_uptake_mmol_g
Sr,0.0,0.0,0.0,4,kr_uptake_mmol_g
Tb,0.0,0.0,0.0,30,kr_uptake_mmol_g
U,0.0,0.0,0.0,12,kr_uptake_mmol_g
Y,0.0,0.0,0.0,7,kr_uptake_mmol_g
Zn,0.0,0.0,0.0,58,kr_uptake_mmol_g
Al,0.0,0.0,0.0,16,xe_kr_selectivity
C,0.0,0.0,0.0,3467,xe_kr_selectivity
Cd,0.0,0.0,0.0,10,xe_kr_selectivity
Cl,0.0,0.0,0.0,51,xe_kr_selectivity
Co,0.0,0.0,0.0,251,xe_kr_selectivity
Cr,0.0,0.0,0.0,20,xe_kr_selectivity
Cu,0.0,0.0,0.0,93,xe_kr_selectivity
Er,0.0,0.0,0.0,42,xe_kr_selectivity
Eu,0.0,0.0,0.0,27,xe_kr_selectivity
F,0.0,0.0,0.0,53,xe_kr_selectivity
Fe,0.0,0.0,0.0,67,xe_kr_selectivity
H,0.0,0.0,0.0,1521,xe_kr_selectivity
Ho,0.0,0.0,0.0,104,xe_kr_selectivity
Li,0.0,0.0,0.0,10,xe_kr_selectivity
Mg,0.0,0.0,0.0,38,xe_kr_selectivity
N,0.0,0.0,0.0,375,xe_kr_selectivity
Nd,0.0,0.0,0.0,7,xe_kr_selectivity
Ni,0.0,0.0,0.0,33,xe_kr_selectivity
O,0.0,0.0,0.0,3530,xe_kr_selectivity
P,0.0,0.0,0.0,94,xe_kr_selectivity
Pr,0.0,0.0,0.0,18,xe_kr_selectivity
S,0.0,0.0,0.0,12,xe_kr_selectivity
Sm,0.0,0.0,0.0,4,xe_kr_selectivity
Sr,0.0,0.0,0.0,4,xe_kr_selectivity
Tb,0.0,0.0,0.0,30,xe_kr_selectivity
U,0.0,0.0,0.0,12,xe_kr_selectivity
Y,0.0,0.0,0.0,7,xe_kr_selectivity
Zn,0.0,0.0,0.0,58,xe_kr_selectivity
Al,0.0,0.0,0.0,16,xe_uptake_mmol_g
C,0.0,0.0,0.0,3467,xe_uptake_mmol_g
Cd,0.0,0.0,0.0,10,xe_uptake_mmol_g
Cl,0.0,0.0,0.0,51,xe_uptake_mmol_g
Co,0.0,0.0,0.0,251,xe_uptake_mmol_g
Cr,0.0,0.0,0.0,20,xe_uptake_mmol_g
Cu,0.0,0.0,0.0,93,xe_uptake_mmol_g
Er,0.0,0.0,0.0,42,xe_uptake_mmol_g
Eu,0.0,0.0,0.0,27,xe_uptake_mmol_g
F,0.0,0.0,0.0,53,xe_uptake_mmol_g
Fe,0.0,0.0,0.0,67,xe_uptake_mmol_g
H,0.0,0.0,0.0,1521,xe_uptake_mmol_g
Ho,0.0,0.0,0.0,104,xe_uptake_mmol_g
Li,0.0,0.0,0.0,10,xe_uptake_mmol_g
Mg,0.0,0.0,0.0,38,xe_uptake_mmol_g
N,0.0,0.0,0.0,375,xe_uptake_mmol_g
Nd,0.0,0.0,0.0,7,xe_uptake_mmol_g
Ni,0.0,0.0,0.0,33,xe_uptake_mmol_g
O,0.0,0.0,0.0,3530,xe_uptake_mmol_g
P,0.0,0.0,0.0,94,xe_uptake_mmol_g
Pr,0.0,0.0,0.0,18,xe_uptake_mmol_g
S,0.0,0.0,0.0,12,xe_uptake_mmol_g
Sm,0.0,0.0,0.0,4,xe_uptake_mmol_g
Sr,0.0,0.0,0.0,4,xe_uptake_mmol_g
Tb,0.0,0.0,0.0,30,xe_uptake_mmol_g
U,0.0,0.0,0.0,12,xe_uptake_mmol_g
Y,0.0,0.0,0.0,7,xe_uptake_mmol_g
Zn,0.0,0.0,0.0,58,xe_uptake_mmol_g
