fold,en_iyi_epoch,n_grup_train,n_grup_val,n_grup_test,on_egitimli_kullanildi,train_overall_MAE,train_overall_R2,train_xe_uptake_mmol_g_MAE,train_xe_uptake_mmol_g_R2,train_kr_uptake_mmol_g_MAE,train_kr_uptake_mmol_g_R2,train_xe_kr_selectivity_MAE,train_xe_kr_selectivity_R2,train_i2_uptake_mmol_g_MAE,train_i2_uptake_mmol_g_R2,val_overall_MAE,val_overall_R2,val_xe_uptake_mmol_g_MAE,val_xe_uptake_mmol_g_R2,val_kr_uptake_mmol_g_MAE,val_kr_uptake_mmol_g_R2,val_xe_kr_selectivity_MAE,val_xe_kr_selectivity_R2,val_i2_uptake_mmol_g_MAE,val_i2_uptake_mmol_g_R2,test_overall_MAE,test_overall_R2,test_xe_uptake_mmol_g_MAE,test_xe_uptake_mmol_g_R2,test_kr_uptake_mmol_g_MAE,test_kr_uptake_mmol_g_R2,test_xe_kr_selectivity_MAE,test_xe_kr_selectivity_R2,test_i2_uptake_mmol_g_MAE,test_i2_uptake_mmol_g_R2
1,12,170,30,100,True,0.11920377853378927,0.8598519073815365,0.0213194454436117,0.9320944340645172,0.016238843252392682,0.9326778977171933,0.424814678741272,0.6688382591985493,0.014442146697880754,0.9057970385458861,0.1200887547898073,0.8684484253559381,0.021269529456889615,0.9469579876802153,0.017024726259373405,0.9379209331521658,0.42685603306378966,0.6835488609334953,0.01520473037917645,0.9053659196578762,0.12421628169314554,0.8522030137688035,0.021745060071476224,0.9349719990805293,0.01751069250065128,0.9251931312992621,0.443029166194144,0.6438619879513704,0.014580208006310639,0.9047849367440521
2,9,170,30,100,True,0.12335203930407976,0.8588038451591712,0.023023341717331964,0.9313803667489484,0.016799695891515906,0.9333253035914287,0.43847133640686653,0.6636306134064345,0.015113783200604664,0.906879096889873,0.12094508962969118,0.8381803208940618,0.019376910720013057,0.9287281165383748,0.018664946842748397,0.8885509290964148,0.4306285162027497,0.6516255986189925,0.01510998475325354,0.883816639322465,0.12100362805982394,0.856992033725525,0.020601806850052178,0.9388270229710605,0.015916669970276773,0.9355185217103251,0.4328815085223539,0.649076690080155,0.014614526896612905,0.904545900140559
3,11,170,30,100,True,0.11933484281613309,0.8629901461764613,0.020534673266516992,0.9383913260610827,0.01626291563837282,0.9327649774281027,0.4267978446592164,0.6698897103312791,0.013743937700426163,0.9109145708853806,0.12050614179689724,0.8469576316058052,0.021638929933274747,0.9385342274234226,0.017993172180134222,0.9275476306886814,0.42575272125769187,0.6406318801771101,0.016639743816488122,0.8811167881340064,0.12437024523076533,0.851816595720911,0.023002675875952616,0.9242488287823214,0.01741177293679183,0.9257918743830275,0.44143009225457963,0.6626319647395011,0.01563643985573722,0.8945937149787937
