fold,sample_id,base_mof_id,mof_name,target_column,atom_idx,element,x,y,z,ig_x,ig_y,ig_z,ig_position_importance
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,0,Cu,-2.7883360385894775,-3.0769548416137695,3.314936876296997,-1.2649884411075618e-06,-7.969588295964058e-06,2.8290608042880194e-06,-6.4055157054099254e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,1,Cu,-4.573533535003662,-2.417556047439575,5.63763427734375,1.3511017641576473e-05,-4.2206309558423527e-07,5.95622577748145e-06,1.9045181034016423e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,2,Cu,-5.554505348205566,0.9699435234069824,-2.6067137718200684,-5.6811054491845425e-06,3.310621821128734e-07,1.198231075250078e-06,-4.151812390773557e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,3,H,-5.355808258056641,0.8147908449172974,0.9080972671508789,-1.3404917808657046e-05,-2.5513663786114193e-06,-9.27408848383493e-07,-1.6883692296687514e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,4,H,-7.06347131729126,-0.8143119812011719,0.8305251002311707,-1.3920230230723973e-05,-1.2070022421539761e-06,1.9856106519000605e-06,-1.3141621820977889e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,5,C,-4.635576248168945,-0.9953234195709229,2.6162619590759277,7.060971984174103e-05,-1.8542314350611377e-08,-1.2343717799012666e-06,6.935680721653625e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,6,C,-4.393350124359131,0.5562031269073486,0.6527774333953857,1.5203383554762695e-05,-2.7424692916611093e-07,5.357060672395164e-06,2.0286197468522005e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,7,C,-3.865579605102539,-0.37471282482147217,1.5135425329208374,1.541301389806904e-05,5.922833565819019e-07,-3.3966071555369126e-07,1.566563696542289e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,8,C,-7.783703327178955,0.9958022832870483,-0.877639651298523,0.00021981836471240968,-2.1991843368596165e-06,-5.40085784450639e-06,0.0002122183213941753
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,9,C,-3.694772243499756,0.9052965641021729,-0.5077864527702332,-1.0278052286594175e-05,-2.526664275137591e-06,-3.884667421516497e-06,-1.6689384210621938e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,10,C,-4.154262542724609,1.189743161201477,-5.086567401885986,4.503998570726253e-05,-1.038668597175274e-05,9.602593490853906e-05,0.00013067922554910183
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,11,C,-5.2036824226379395,0.6467088460922241,-5.994935512542725,9.804728324525058e-05,-1.1497877494548447e-05,0.00015083319158293307,0.0002373825991526246
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,12,C,-5.942476272583008,4.266937255859375,-2.816178798675537,0.00014349725097417831,7.116957567632198e-05,2.143893425454735e-06,0.0002168107166653499
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,13,O,-5.601121425628662,-0.2583483159542084,2.9850826263427734,5.850189700140618e-05,-2.4289397515531164e-07,2.511467300791992e-06,6.0770471463911235e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,14,O,-4.3655009269714355,-1.9908863306045532,3.2643587589263916,3.237186319893226e-05,2.1962271148368018e-06,1.4814015230513178e-05,4.9382106226403266e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,15,O,-2.9869906902313232,-1.7581573724746704,6.614034652709961,3.06595211441163e-05,-3.4356228297838243e-06,0.00010471983114257455,0.000131943728774786
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,16,O,-3.620435953140259,-3.9302945137023926,4.953970909118652,4.362326581031084e-05,3.884703983203508e-05,4.673904913943261e-05,0.00012920935114379972
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,17,O,-6.818158149719238,0.25882717967033386,-1.2464603185653687,7.738789281575009e-05,-2.961645577670424e-07,-5.599960331892362e-06,7.149176235543564e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,18,O,-4.306370258331299,1.8491419553756714,-1.2739055156707764,5.3522689995588735e-06,1.5388206975330831e-06,-2.9946834274596768e-06,3.89640626963228e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,19,O,-4.163573265075684,1.2802488803863525,-3.8868002891540527,2.1222347641014494e-05,-4.870250450039748e-06,1.3851378753315657e-05,3.02034750347957e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,20,O,-6.802618503570557,0.685496985912323,-4.029967308044434,0.0001252640358870849,-2.2282565623754635e-06,3.2200608984567225e-05,0.00015523638285230845
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,21,O,-4.84028959274292,4.435019493103027,-2.2091636657714844,5.5983211495913565e-05,3.177910184604116e-05,-2.0071506696694996e-06,8.575515676056966e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,22,O,-6.187789440155029,3.193798303604126,-3.3170182704925537,0.0001030343264574185,1.6413845514762215e-05,1.5638413970009424e-05,0.00013508659321814775
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,23,H,-0.829383134841919,-6.735971927642822,3.093454599380493,-4.310343683755491e-06,6.798277172492817e-05,-9.591009074938484e-06,5.40814216947183e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,24,C,0.19517990946769714,-6.710113048553467,3.2364704608917236,-2.5359233859489905e-06,0.00017202294839080423,-1.3448181562125683e-05,0.00015603884821757674
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,25,Cu,3.421131134033203,-3.0769548416137695,2.445789337158203,-3.3761698432499543e-06,-1.1796990293078125e-05,1.9453000277280807e-06,-1.3227860108599998e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,26,Cu,-0.6553068161010742,-0.9694646596908569,3.4761886596679688,-7.886828825576231e-07,2.999706794071244e-06,-3.3393378089385806e-06,-1.1283138974249596e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,27,Cu,1.635933518409729,-2.417556047439575,4.768486976623535,-1.897860926192152e-07,-4.273196736903628e-06,-1.261589477508096e-05,-1.7078877135645598e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,28,Cu,-3.421476125717163,3.0774338245391846,-2.4454619884490967,-3.3823873764049495e-06,-1.1769192497013137e-05,1.95800907931698e-06,-1.3193570339353755e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,29,Cu,0.6549618244171143,0.9699435234069824,-3.4758613109588623,-7.866190685490437e-07,3.0007715849933447e-06,-3.3629562494752463e-06,-1.1488036761875264e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,30,Cu,-1.636278510093689,2.4180350303649902,-4.76815938949585,-1.8753701169771375e-07,-4.24169502366567e-06,-1.2628501281142235e-05,-1.705773320281878e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,31,H,0.8536590933799744,0.8147908449172974,0.038949836045503616,-9.647408205637475e-07,-2.6990987862518523e-06,9.946339929456371e-08,-3.564376129361335e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,32,H,-2.185924768447876,-0.5427948832511902,-6.598250389099121,-1.3914204828324728e-05,3.1619761102774646e-06,5.633490582113154e-05,4.558267755783163e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,33,H,-0.8540040254592896,-0.8143119812011719,-0.038622379302978516,-9.643638350098627e-07,-2.7008572942577302e-06,9.947093104756277e-08,-3.5657501484820386e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,34,H,2.185579776763916,0.5432737469673157,6.598577976226807,-1.394513947161613e-05,3.16314844894805e-06,5.6165430578403175e-05,4.5383440010482445e-05
