epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.5909939215463751,0.2617372827870505,0.1919934977035801,0.14439615066850767,0.4090060745318309,0.7376883370884375,0.000989084726566536,1.438410758972168,True
2,0.1952964811765847,0.17191837344850813,0.13338101621462817,0.1243937261502926,0.8047035183633073,0.8268120279563131,0.0009568159560924792,1.4659245014190674,True
3,0.15978378528306464,0.16473994624047053,0.12601790277579808,0.12544495245636805,0.8402162148274627,0.8330067651981946,0.0009046039886902865,1.4603667259216309,True
4,0.152928883263043,0.16418693732647668,0.12409098679622256,0.12433134170785347,0.8470711159629677,0.8333193112885355,0.0008347307378762499,1.4576282501220703,True
5,0.1476783270971114,0.1574739036105928,0.12281491450958225,0.12372800627469199,0.8523216721050709,0.8396668087981696,0.0007502500000000003,1.4828991889953613,True
6,0.14865424833377872,0.1546533892552058,0.1223661488955832,0.12245213052644066,0.851345751815143,0.8427533117728148,0.0006548539886902865,1.8246026039123535,False
7,0.14626570010886472,0.14963033440567197,0.12174679204470969,0.12064214501969261,0.8537343010376279,0.8476969785277908,0.0005527119674021932,1.7913367748260498,False
8,0.1413512994261349,0.15568812092145284,0.12004589083179834,0.12353559479416919,0.8586487012165365,0.8413021573731211,0.0004482880325978074,1.7907180786132812,False
9,0.1423950909065599,0.15299073982806433,0.12064933530770179,0.12246446801095548,0.8576049081158348,0.8439384715543571,0.000346146011309714,1.791062355041504,False
10,0.13942718436988463,0.1549168825149536,0.1203213437151636,0.12386948140850472,0.8605728170201629,0.841966968130059,0.0002507500000000002,1.8311827182769775,False
11,0.13954185197333327,0.1522386005946568,0.1200691879502532,0.12305128113133122,0.8604581473202538,0.8447064876571964,0.00016626926212375052,1.7861340045928955,False
12,0.1375407884852225,0.1518951157728831,0.11936884191954387,0.12175447643462092,0.8624592122386696,0.8452073947051043,9.639601130971382e-05,1.7628200054168701,False
