epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.4034094466381714,0.19189220851375943,0.16493577159454287,0.12911177313347214,0.5965905568975548,0.835198148766853,0.000989084726566536,2.7499630451202393,True
2,0.16758659421896735,0.16694408584208714,0.12813104794925806,0.12563495522255297,0.8324134063397428,0.8555442332147479,0.0009568159560924792,2.5969738960266113,True
3,0.1548224804030747,0.15808792894794826,0.12453213588728787,0.12565162398873378,0.8451775209106926,0.8626178041455698,0.0009046039886902865,2.645101547241211,True
4,0.14908496467005306,0.15506419014363063,0.1229294353219288,0.12387083793186118,0.8509150354223135,0.8651327818762808,0.0008347307378762499,2.6332852840423584,True
5,0.14962519983283612,0.15695285357180097,0.12261788826027306,0.12280267255638172,0.8503748014158251,0.8638989546355775,0.0007502500000000003,2.633796453475952,True
6,0.15066999696633396,0.15419973255622954,0.12326206721277097,0.12271539518008841,0.8493300034274963,0.8658374158024018,0.0006548539886902865,4.838975191116333,False
7,0.14757812656775243,0.15235058055037543,0.12235604348194865,0.11901000552429467,0.852421873626192,0.8678054359683555,0.0005527119674021932,4.83490777015686,False
8,0.1469779590974335,0.15589990055277234,0.12196852567368772,0.12139692503538484,0.8530220415174274,0.8646953667564675,0.0004482880325978074,4.812533378601074,False
9,0.1440498029609688,0.15530004004637402,0.12046375638456472,0.1220238279828069,0.8559501981451068,0.8650789756331816,0.000346146011309714,4.846857786178589,False
10,0.1436356449327549,0.15287977840219225,0.12031875766602601,0.1216896011191248,0.8563643563455126,0.8670445453006764,0.0002507500000000002,4.810819625854492,False
11,0.14392310136756978,0.15198274311565219,0.12041969947532435,0.12086565407319699,0.856076899300426,0.8677648978223127,0.00016626926212375052,4.830472469329834,False
12,0.14351191102456645,0.1525180907476516,0.1202073830650245,0.12141888586283114,0.8564880891545678,0.8673207632683615,9.639601130971382e-05,4.79145073890686,False
