fold,en_iyi_epoch,n_grup_train,n_grup_val,n_grup_test,on_egitimli_kullanildi,train_overall_MAE,train_overall_R2,train_xe_uptake_mmol_g_MAE,train_xe_uptake_mmol_g_R2,train_kr_uptake_mmol_g_MAE,train_kr_uptake_mmol_g_R2,train_xe_kr_selectivity_MAE,train_xe_kr_selectivity_R2,train_i2_uptake_mmol_g_MAE,train_i2_uptake_mmol_g_R2,val_overall_MAE,val_overall_R2,val_xe_uptake_mmol_g_MAE,val_xe_uptake_mmol_g_R2,val_kr_uptake_mmol_g_MAE,val_kr_uptake_mmol_g_R2,val_xe_kr_selectivity_MAE,val_xe_kr_selectivity_R2,val_i2_uptake_mmol_g_MAE,val_i2_uptake_mmol_g_R2,test_overall_MAE,test_overall_R2,test_xe_uptake_mmol_g_MAE,test_xe_uptake_mmol_g_R2,test_kr_uptake_mmol_g_MAE,test_kr_uptake_mmol_g_R2,test_xe_kr_selectivity_MAE,test_xe_kr_selectivity_R2,test_i2_uptake_mmol_g_MAE,test_i2_uptake_mmol_g_R2
1,13,170,30,100,True,0.11966001456948189,0.8592659920048682,0.021502831836883684,0.9317976719526216,0.016190304614774127,0.9327399714898867,0.42634206476249664,0.6675739181894458,0.01460485706377312,0.9049524063875185,0.12015422768446098,0.8691991158793584,0.021137995888001204,0.9477496111982014,0.017087402971329862,0.9390524735380723,0.4269612829281526,0.6841263676466014,0.01543022895036021,0.9058680111345582,0.12324429488269892,0.8539760376505717,0.02183087208249374,0.9347131671756668,0.01728122486552283,0.9261129211858684,0.43927961224085377,0.6500641242853056,0.01458547034192537,0.9050139379554459
2,12,170,30,100,True,0.1222658406100884,0.86096494393281,0.022910172451305243,0.9318897058082016,0.01682289093908606,0.9336425910518058,0.4346616545874713,0.6701371702968948,0.01466864446249102,0.9081903085743381,0.1218004416737672,0.8383066091146463,0.019234898816798164,0.9278982129052051,0.018408161400783458,0.8918624416812994,0.43486812313708484,0.6479979872145736,0.014690583340402349,0.8854677946575069,0.11974908893264048,0.8588131660679624,0.02051756979440302,0.9397805166287528,0.01610013282888722,0.9351224292425462,0.4280534679708661,0.6557164678502829,0.014325185136405605,0.9046332505502677
3,14,170,30,100,True,0.11839054038508387,0.8652386361934243,0.020563899371606943,0.9387694202085336,0.01602209006815902,0.9347385306203565,0.4232074053341038,0.6751833740915767,0.01376876676646574,0.9122632198532306,0.11998269031722608,0.8484663071448901,0.021629857528216813,0.9398674205054507,0.018087654021638644,0.9257771103594288,0.423670691750124,0.6439428486304242,0.016542557968924818,0.8842778490842569,0.12492491608115414,0.8503511079071379,0.0233261133148011,0.9241535337729149,0.017825650028577056,0.9213627047263571,0.442937467333809,0.6593133292157313,0.015610433647429365,0.8965748639135486
