epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.5870981004308252,0.2774896655763899,0.1945421327551826,0.141316437721258,0.41290189437991515,0.7654496583054433,0.000989084726566536,1.6387412548065186,True
2,0.20026645637860818,0.18771209362007324,0.13315203597511602,0.12765779806950872,0.7997335463577617,0.8386670113041457,0.0009568159560924792,1.395000696182251,True
3,0.16665132979885872,0.16838214766411555,0.126398545492393,0.12782153431844173,0.8333486698915642,0.8541812135202321,0.0009046039886902865,1.3929553031921387,True
4,0.15608764701530714,0.15985618588470277,0.1243092343137116,0.12479933230840347,0.8439123532187565,0.8610194714951909,0.0008347307378762499,1.4268298149108887,True
5,0.15280155769917145,0.1571343617779868,0.12343859226273149,0.12222405918523915,0.847198444268342,0.8636928566417295,0.0007502500000000003,1.3837075233459473,True
6,0.15421948147421125,0.15690167659804935,0.1244707366081847,0.12316742798149667,0.8457805200025481,0.8636634541548287,0.0006548539886902865,1.5477652549743652,False
7,0.14767968910081045,0.15549024712471735,0.12166645104661665,0.12081379810178154,0.8523203135397691,0.8651192849377951,0.0005527119674021932,1.4734117984771729,False
8,0.14622362616683254,0.15498109956582387,0.12169544890702534,0.1191236486710045,0.8537763731909677,0.8657762924696645,0.0004482880325978074,1.545236349105835,False
9,0.14661763671065578,0.15292266138962338,0.12244367574060705,0.12159036634013042,0.8533823642983828,0.8671255077638044,0.000346146011309714,1.548187255859375,False
10,0.14635735069002423,0.15657325897897992,0.12182785232348899,0.12182677785325176,0.8536426486838385,0.8637048547735888,0.0002507500000000002,1.5450894832611084,False
11,0.14436646899004943,0.15091545042537508,0.12013395896370904,0.11959818428904688,0.8556335308839496,0.8688409450615842,0.00016626926212375052,1.4825186729431152,False
12,0.14507846708307748,0.1522058776446751,0.12087391459733376,0.12018751294498023,0.8549215344271444,0.8676728444222834,9.639601130971382e-05,1.5452461242675781,False
13,0.1429046879796421,0.1521967405364627,0.12007888640423725,0.12048942649006464,0.8570953132478047,0.8676584965208659,4.418404390752082e-05,1.4864752292633057,False
