epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.5639023885506542,0.20306934856233141,0.19341452679741455,0.14213430256539206,0.43609761340839603,0.737525031491272,0.000989084726566536,1.4968786239624023,True
2,0.19363324727330888,0.15935269622575668,0.13447191525959892,0.1284238598105952,0.8063667519074916,0.7980060796285475,0.0009568159560924792,1.5245919227600098,True
3,0.16503608963068794,0.14562869866689046,0.12966243078865344,0.12520381651423748,0.8349639096665411,0.8167828944975501,0.0009046039886902865,1.495163917541504,True
4,0.15345205181286115,0.13964171977270218,0.12695924812487835,0.12442477491401616,0.8465479470623479,0.8251076482635751,0.0008347307378762499,1.4937427043914795,True
5,0.14993711459536513,0.14009352567650024,0.12571855922752237,0.12473351742831057,0.8500628858665632,0.8243977827459945,0.0007502500000000003,1.5270159244537354,True
6,0.1529133068914173,0.1387975335830734,0.12702827258541158,0.12550878184000094,0.8470866913004312,0.8263323451170097,0.0006548539886902865,1.9420945644378662,False
7,0.1487495190456134,0.13885854581991833,0.12626879391071033,0.1244900448226541,0.8512504821293472,0.8261684039158395,0.0005527119674021932,1.9713099002838135,False
8,0.14400591840263174,0.13679752683355695,0.12317743427414976,0.12614770160616723,0.855994081621612,0.8298661924261665,0.0004482880325978074,1.9367644786834717,False
9,0.14295069400001975,0.13405367788814362,0.1228096216038911,0.12283408139101126,0.8570493050953083,0.8325928424349629,0.000346146011309714,1.929314374923706,False
10,0.14454738793252897,0.13290573415302095,0.12435530247875375,0.12235548428011789,0.855452612874805,0.8341394403339929,0.0002507500000000002,1.9323699474334717,False
11,0.141287391100611,0.13453326480729239,0.12290578595369786,0.12463422033749844,0.8587126075890885,0.8327268650225368,0.00016626926212375052,1.9340894222259521,False
12,0.14064539315319863,0.1327858350106648,0.12249085473795417,0.12328931099119272,0.85935460640126,0.8347304328964246,9.639601130971382e-05,1.9330329895019531,False
13,0.1406194168291673,0.1330671382092294,0.122629146829952,0.12376072670297183,0.8593805805354622,0.8344996876161506,4.418404390752082e-05,1.9472694396972656,False
14,0.13889579918204237,0.13311663468678792,0.12205841094809834,0.12374862030379845,0.86110419993333,0.8344344689806704,1.1915273433464063e-05,1.91904616355896,False
15,0.13970175061155768,0.1331941632997422,0.12245844634956334,0.12383020892114036,0.8602982497996317,0.8343351290722267,1e-06,1.9352538585662842,False
