epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.5524737710712336,0.29942430087498256,0.18912046946077482,0.14835006786349791,0.4475262276717862,0.701071678951666,0.000989084726566536,1.490096092224121,True
2,0.1945986603738881,0.18411209654240382,0.1314018423034921,0.12691128192407528,0.8054013416032113,0.8150826905011254,0.0009568159560924792,1.5213329792022705,True
3,0.15818333270169105,0.16274115755444482,0.12631957178908276,0.12336076599186908,0.8418166686566824,0.8351163566056499,0.0009046039886902865,1.5058777332305908,True
4,0.14964084684097467,0.16446465310596284,0.12374865301255261,0.12684080866912967,0.8503591520834085,0.8329802226698426,0.0008347307378762499,1.5144157409667969,True
5,0.14485935934451447,0.1575068805898939,0.12226296140532497,0.12288492709664614,0.8551406401970051,0.8400823351614872,0.0007502500000000003,1.5003814697265625,True
6,0.147427301997898,0.15815579550606865,0.12357359471398416,0.12603844829176775,0.8525726969955266,0.8386010098372625,0.0006548539886902865,1.946502685546875,False
7,0.1444181957415172,0.15760480406738464,0.12159903792692359,0.1230875598748966,0.8555818041432044,0.8398091755718664,0.0005527119674021932,1.9601850509643555,False
8,0.14182149766623472,0.14905471886907304,0.1214694595885676,0.12048297528002853,0.8581785023115709,0.8481461500436229,0.0004482880325978074,1.9820873737335205,False
9,0.14194872594681107,0.15417319734891255,0.1210662788252836,0.1225898960051007,0.8580512765120625,0.8428217299363439,0.000346146011309714,1.939763069152832,False
10,0.13874352958773364,0.1533294711794172,0.11970547048946942,0.12283540128905703,0.8612564711175414,0.8437644092023484,0.0002507500000000002,1.9427926540374756,False
11,0.1395718174321311,0.14938516134307497,0.12055252577413507,0.12071388468059206,0.8604281814508662,0.8477646131601598,0.00016626926212375052,1.9302732944488525,False
12,0.13985176211645622,0.15198978597209567,0.12028122871451245,0.12158279990349752,0.8601482382084495,0.8451510945292208,9.639601130971382e-05,1.9473292827606201,False
13,0.13748166223033137,0.15077582058452424,0.11985528805385025,0.12170700521303664,0.8625183392907503,0.846323436175402,4.418404390752082e-05,1.934678316116333,False
