fold,en_iyi_epoch,n_grup_train,n_grup_val,n_grup_test,on_egitimli_kullanildi,train_overall_MAE,train_overall_R2,train_xe_uptake_mmol_g_MAE,train_xe_uptake_mmol_g_R2,train_kr_uptake_mmol_g_MAE,train_kr_uptake_mmol_g_R2,train_xe_kr_selectivity_MAE,train_xe_kr_selectivity_R2,train_i2_uptake_mmol_g_MAE,train_i2_uptake_mmol_g_R2,val_overall_MAE,val_overall_R2,val_xe_uptake_mmol_g_MAE,val_xe_uptake_mmol_g_R2,val_kr_uptake_mmol_g_MAE,val_kr_uptake_mmol_g_R2,val_xe_kr_selectivity_MAE,val_xe_kr_selectivity_R2,val_i2_uptake_mmol_g_MAE,val_i2_uptake_mmol_g_R2,test_overall_MAE,test_overall_R2,test_xe_uptake_mmol_g_MAE,test_xe_uptake_mmol_g_R2,test_kr_uptake_mmol_g_MAE,test_kr_uptake_mmol_g_R2,test_xe_kr_selectivity_MAE,test_xe_kr_selectivity_R2,test_i2_uptake_mmol_g_MAE,test_i2_uptake_mmol_g_R2
1,13,170,30,100,True,0.11866859945336102,0.862259063040786,0.020979800261838794,0.9336547994155356,0.01609554429692558,0.9334282663059312,0.4233739158976149,0.6732789890668334,0.014225137357064765,0.9086741973748441,0.1198503373194443,0.8677447287536582,0.02123247694062378,0.9432224336239979,0.01696955332599385,0.9374644228505193,0.4262630221700371,0.6832639801040394,0.014936296841122498,0.9070280784360758,0.12356608295391847,0.852943072431205,0.021757437377931763,0.934317496935415,0.0174112379321947,0.9230100144758671,0.4405746716726474,0.6498736338728127,0.014520984832899998,0.9045711444407254
2,10,170,30,100,True,0.12201360197594527,0.8618727739978739,0.02305740745825161,0.9318558669495831,0.016945497870718435,0.9338147812188385,0.4332703288115533,0.673145628274685,0.014781173763257735,0.9086748195483888,0.12235548372258626,0.8341394404302513,0.01992151901229387,0.9259105551977086,0.01899328182410456,0.889319371705405,0.4353295251875804,0.6446641285858752,0.015177608866366233,0.8766637062320166,0.1199868092444296,0.8572298728112149,0.021125796476704782,0.9376445836998931,0.016415305566619697,0.9348582389854054,0.42766308803670555,0.6545156004891715,0.014743046897688414,0.9019010680703898
3,8,170,30,100,True,0.11889925352908326,0.8639802239282582,0.020863605996004873,0.937435552072828,0.016337030292304693,0.9342747792670953,0.4243252418807955,0.673961675650406,0.014071135947228,0.9102488887227035,0.12048297510492209,0.8481461488867248,0.021910245037364044,0.9393561078719833,0.0182063477198179,0.9263077893658259,0.42527845054433205,0.6426688892335335,0.0165368571181744,0.8842518090755568,0.12485279067694612,0.8500060149861558,0.023343406162108234,0.9230156436346714,0.01795475549777292,0.9212254041543471,0.4423044719184283,0.6638789836847427,0.01580852912947498,0.891904028470862
