epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,sure_sn,encoder_donuk_mu
1,0.3968924982958481,0.19590036670366923,0.16677430596794382,0.12824322451641104,0.6031075083608881,0.8325463740831827,0.000989084726566536,1.8598682880401611,True
2,0.1694004691448532,0.16284542097931817,0.127703753696701,0.12449296079211684,0.8305995322997317,0.8589369754981495,0.0009568159560924792,1.7416553497314453,True
3,0.15570734979725687,0.15864336334523702,0.1252287947555933,0.1264423895588936,0.8442926516168343,0.8623141745101978,0.0009046039886902865,1.7564222812652588,True
4,0.1524935248769632,0.16389173524720327,0.12393022757649205,0.13074620510430116,0.8475064743388764,0.8572649171916794,0.0008347307378762499,1.784888744354248,True
5,0.1545792916241814,0.15607201173191979,0.12552615928945907,0.12206913578449692,0.8454207085704193,0.8645240218601458,0.0007502500000000003,1.804640769958496,True
6,0.15106062728817723,0.15117270989077433,0.12382659383303798,0.12052512505875658,0.8489393736736489,0.8687679361887509,0.0006548539886902865,2.360795259475708,False
7,0.1474701251052007,0.16010658599081493,0.12274759912724223,0.12497849124347409,0.8525298748726601,0.8606980111844021,0.0005527119674021932,2.348128318786621,False
8,0.14659222144038736,0.15196107420183363,0.12171256575021194,0.11954412406585983,0.8534077782532878,0.8681273035736352,0.0004482880325978074,2.308969497680664,False
9,0.14569008906348413,0.15109609166781107,0.12152249056749864,0.12070846337538106,0.8543099105571752,0.8686016904025637,0.000346146011309714,2.3218042850494385,False
10,0.14402678616407538,0.15952592747552055,0.1205954002712911,0.12548254111219517,0.8559732157475739,0.8606756913285513,0.0002507500000000002,2.3265655040740967,False
11,0.14410864149822908,0.15697603396006993,0.1203865062266814,0.12305970777987013,0.8558913583577104,0.8633977157378019,0.00016626926212375052,2.316169261932373,False
12,0.14330841858847804,0.1591413357428142,0.12101150025288954,0.1245605803682461,0.8566915814823826,0.8613287111515064,9.639601130971382e-05,2.3221471309661865,False
13,0.1424271771386892,0.1572602167015984,0.12005706689864178,0.12400146213066708,0.8575728229452898,0.8629048816502636,4.418404390752082e-05,2.322937488555908,False
