fold,en_iyi_epoch,n_grup_train,n_grup_val,n_grup_test,on_egitimli_kullanildi,train_overall_MAE,train_overall_R2,train_xe_uptake_mmol_g_MAE,train_xe_uptake_mmol_g_R2,train_kr_uptake_mmol_g_MAE,train_kr_uptake_mmol_g_R2,train_xe_kr_selectivity_MAE,train_xe_kr_selectivity_R2,train_i2_uptake_mmol_g_MAE,train_i2_uptake_mmol_g_R2,val_overall_MAE,val_overall_R2,val_xe_uptake_mmol_g_MAE,val_xe_uptake_mmol_g_R2,val_kr_uptake_mmol_g_MAE,val_kr_uptake_mmol_g_R2,val_xe_kr_selectivity_MAE,val_xe_kr_selectivity_R2,val_i2_uptake_mmol_g_MAE,val_i2_uptake_mmol_g_R2,test_overall_MAE,test_overall_R2,test_xe_uptake_mmol_g_MAE,test_xe_uptake_mmol_g_R2,test_kr_uptake_mmol_g_MAE,test_kr_uptake_mmol_g_R2,test_xe_kr_selectivity_MAE,test_xe_kr_selectivity_R2,test_i2_uptake_mmol_g_MAE,test_i2_uptake_mmol_g_R2
1,8,170,30,100,True,0.12003760622606606,0.8581454325218173,0.021369174260375278,0.9320543024084358,0.016560013551951525,0.9306637789549137,0.4274981411932406,0.6668445562800333,0.014723095898696838,0.9030190924438862,0.11954412452172519,0.8681273021197567,0.02144671198676181,0.9442655999891663,0.017330521668733636,0.9337118688936444,0.42399942436753724,0.690816810643357,0.015399840063868051,0.9037149289528589,0.12341720819535394,0.8525714824492079,0.022112100978186097,0.9327178376739855,0.017550561247957997,0.9241425305027757,0.43943939357016215,0.6480385088292205,0.014566776985109492,0.9053870527908496
2,11,170,30,100,True,0.12175379645701713,0.8621684105573418,0.02264313245549961,0.9324322788029404,0.01665910614252533,0.9339585169008505,0.4329536304404462,0.6732185550127542,0.014759316789597333,0.9090642915128222,0.12110814563443517,0.8399453295964646,0.018605121242783164,0.931612731105433,0.018352831435561583,0.8903926721295629,0.4328320426324206,0.6498074008272768,0.014642587226975354,0.8879685143235857,0.12360129597442165,0.8512561496036002,0.020426031853905503,0.9400240732872093,0.01616921905843856,0.9345798646850518,0.44314524447602044,0.6287797044951386,0.014664688509322116,0.9016409559470011
3,10,170,30,100,True,0.11848688803783182,0.8655518569662934,0.020639973312288385,0.938786772010051,0.016165864462514286,0.9331344107033069,0.42342316078326264,0.6770201578988986,0.01371855359326197,0.9132660872529169,0.11869718628456175,0.8506081193908984,0.02137404639520276,0.9384273574269445,0.01787087125306394,0.9280171202963907,0.4190006461273413,0.6544392021143666,0.016543181362639006,0.881548797725892,0.1249860423625293,0.8525379309751282,0.02301013167197761,0.9246893674748526,0.01729655351986029,0.925703939475564,0.44415987416783936,0.6614928254598298,0.015477610090439943,0.8982655914902662
