fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,subgraphx_onem,in_cekirdek_alt_graf
1,finetune_000005_v00,finetune_000005,CuHC4O3,0,Cu,-2.7883360385894775,-3.0769548416137695,3.314936876296997,0.960023678301516,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,1,Cu,-4.573533535003662,-2.417556047439575,5.63763427734375,0.9600184705576906,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,2,Cu,-5.554505348205566,0.9699435234069824,-2.6067137718200684,0.9599610026107925,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,3,H,-5.355808258056641,0.8147908449172974,0.9080972671508789,0.9598895298848759,False
1,finetune_000005_v00,finetune_000005,CuHC4O3,4,H,-7.06347131729126,-0.8143119812011719,0.8305251002311707,0.9598966518055868,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,5,C,-4.635576248168945,-0.9953234195709229,2.6162619590759277,0.9599468895841137,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,6,C,-4.393350124359131,0.5562031269073486,0.6527774333953857,0.9599705333472435,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,7,C,-3.865579605102539,-0.37471282482147217,1.5135425329208374,0.9599791821986302,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,8,C,-7.783703327178955,0.9958022832870483,-0.877639651298523,0.9599487510781238,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,9,C,-3.694772243499756,0.9052965641021729,-0.5077864527702332,0.9206485339540903,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,10,C,-4.154262542724609,1.189743161201477,-5.086567401885986,0.9198921995949892,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,11,C,-5.2036824226379395,0.6467088460922241,-5.994935512542725,0.9599742140902465,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,12,C,-5.942476272583008,4.266937255859375,-2.816178798675537,0.9199571348140096,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,13,O,-5.601121425628662,-0.2583483159542084,2.9850826263427734,0.9599254039274384,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,14,O,-4.3655009269714355,-1.9908863306045532,3.2643587589263916,0.9600348714553684,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,15,O,-2.9869906902313232,-1.7581573724746704,6.614034652709961,0.9600257880436992,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,16,O,-3.620435953140259,-3.9302945137023926,4.953970909118652,0.9599697865403871,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,17,O,-6.818158149719238,0.25882717967033386,-1.2464603185653687,0.9599812851951259,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,18,O,-4.306370258331299,1.8491419553756714,-1.2739055156707764,0.9200234102626731,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,19,O,-4.163573265075684,1.2802488803863525,-3.8868002891540527,0.9599649711805921,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,20,O,-6.802618503570557,0.685496985912323,-4.029967308044434,0.9599793936065066,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,21,O,-4.84028959274292,4.435019493103027,-2.2091636657714844,0.9199544358540651,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,22,O,-6.187789440155029,3.193798303604126,-3.3170182704925537,0.9600389141336024,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,23,H,-0.829383134841919,-6.735971927642822,3.093454599380493,0.959918524823186,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,24,C,0.19517990946769714,-6.710113048553467,3.2364704608917236,0.9599714653450423,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,25,Cu,3.421131134033203,-3.0769548416137695,2.445789337158203,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,26,Cu,-0.6553068161010742,-0.9694646596908569,3.4761886596679688,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,27,Cu,1.635933518409729,-2.417556047439575,4.768486976623535,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,28,Cu,-3.421476125717163,3.0774338245391846,-2.4454619884490967,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,29,Cu,0.6549618244171143,0.9699435234069824,-3.4758613109588623,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,30,Cu,-1.636278510093689,2.4180350303649902,-4.76815938949585,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,31,H,0.8536590933799744,0.8147908449172974,0.038949836045503616,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,32,H,-2.185924768447876,-0.5427948832511902,-6.598250389099121,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,33,H,-0.8540040254592896,-0.8143119812011719,-0.038622379302978516,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,34,H,2.185579776763916,0.5432737469673157,6.598577976226807,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,35,C,1.5738909244537354,-0.9953234195709229,1.7471145391464233,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,36,C,1.8161170482635498,0.5562031269073486,-0.21637004613876343,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,37,C,2.3438875675201416,-0.37471282482147217,0.644395112991333,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,38,C,-2.5150399208068848,-0.9048177003860474,1.3772614002227783,0.9599752536554349,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,39,C,-2.0555496215820312,-1.1892642974853516,5.956042289733887,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,40,C,-1.2296583652496338,-0.3100658655166626,-6.912997722625732,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,41,C,-1.0061298608779907,-0.6462299823760986,6.864410400390625,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,42,C,0.26992371678352356,-0.4264303743839264,6.195865154266357,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,43,C,-0.2673358619213104,-4.266458511352539,3.6856536865234375,1.0,True
